Date,Supply_SY,Supply_TY,Supply_Total,Demand_SY,Demand_TY,Demand_Total,Demand_Lease,Inventory,CostPerCar,PricePerCarSold,PricePerCarLeased
3/31/2016,,,,,,14820,,,,60856,
6/30/2016,,,18345,,,14370,,,49566,71693,
9/30/2016,,,25185,,,24821,,,60237,77251,
12/31/2016,,,24882,,,22252,,,62070,78170,
3/31/2017,,,25418,,,25051,,,65413,81237,
6/30/2017,,,25708,,,22026,,,64105,91431,
9/30/2017,25076,260,25336,25930,220,26150,,,76210,79416,
12/31/2017,22140,2425,22137,28320,1550,29967,,,98982,80392,
3/31/2018,24728,9766,34494,21800,8180,29997,,,63660,85405,
6/30/2018,24761,28578,53339,19965,18449,38414,2354,55,49994,81165,101876
9/30/2018,26903,53239,80142,25150,56065,81215,2560,31,56465,72380,86118
12/31/2018,25161,61394,86555,23968,63359,87327,3639,19,55297,69549,68631
3/31/2019,14163,62975,77138,10728,50928,61656,1363,30,38545,56908,157828
6/30/2019,14517,72531,87048,15902,73312,89214,6142,18,50088,57928,33924
9/30/2019,16318,79837,96155,17483,79703,97186,44241,18,42962,52806,4995
12/31/2019,17933,86958,104891,19475,92620,112095,49901,10,47039,54802,4509
3/31/2020,15390,87282,102672,12230,76266,88496,53159,25,37216,55291,4496
6/30/2020,6326,75946,82272,10614,80277,90891,54519,17,46942,54032,4916
9/30/2020,16992,128044,145036,15275,124318,139593,61638,14,37963,52624,4299
12/31/2020,16097,163660,179757,18966,161701,180667,72089,11,39331,50004,3884
3/31/2021, -   ,180338,180338,2030,182847,184877,83032,8,36692,47085,3577
6/30/2021,2340,204081,206421,1895,199409,201304,95491,9,35399,49050,3477
9/30/2021,8941,228882,237823,9289,232102,241391,108757,6,35253,48353,3540
12/31/2021,13109,292731,305840,11766,308650,320416,120342,4,36244,47872,5218
